timestamp,x,y,z
0,-2.129621429,4.512516174,7.877817993
10.01696467,1.538051605,-8.733289032,-0.4454736328
20.034958,1.093326416,-9.685458984,1.314865723
30.051537,1.297801208,-9.68246521,1.190175018
40.06796842,1.31396759,-9.651329956,1.259929962
50.08431392,1.363514557,-9.694589996,1.257085876
60.10060388,1.592837677,-9.680369568,0.9136999512
70.11685904,1.639839935,-9.688153381,0.5827381897
80.13308379,1.688189392,-9.778715057,0.4493655396
90.14928862,1.687740326,-9.691596222,0.0730480957
100.1654917,1.295855255,-9.747729492,0.4038601685
110.181681,1.802701263,-9.635163574,-0.8930429077
120.1978633,1.134790192,-9.804760895,-0.826431427
130.2140355,1.185534668,-9.725126495,1.082249451
140.230205,1.465153198,-9.692644043,0.1682501221
150.2463739,1.428778839,-9.789043579,0.07634124756
160.2625406,1.52697464,-9.596543884,-1.041683807
170.278709,1.301693115,-9.726174316,-0.9249266052
180.2948748,1.006357269,-9.816735992,-1.087488556
190.3110415,1.300495605,-9.717043304,-0.8074209595
200.3272127,0.8818162537,-9.672735443,1.539698181
210.3433845,1.419947205,-9.689350891,0.8622070313
220.359563,1.324445801,-9.716743927,0.9172924805
230.3757469,1.516047363,-9.793384552,1.263372803
240.3919315,2.142344971,-9.837093658,1.443747711
250.4081224,1.737736359,-9.61106369,1.359323273
260.4243272,1.366508331,-9.769733734,1.183289337
270.4405521,1.592238922,-9.639803925,1.221909027
280.4567926,1.846260681,-9.56076828,1.170565796
290.4730243,1.328936462,-9.702523499,1.2660672
300.4892468,2.311942291,-9.583071899,-0.1465452576
310.505466,2.383643188,-11.44400208,2.241588593
320.5216831,5.900429993,-7.31184494,-3.008144531
330.537903,2.876268768,-9.388626251,1.495989075
340.5541275,2.488874359,-9.568103027,1.155596924
350.5703594,8.901539154,-1.954186249,-5.454207916
360.5865902,3.555107117,-9.169781342,0.1392105103
370.6028306,3.498075714,-9.114097137,1.244362335
380.6190794,3.465144196,-9.284143524,-1.052611084
390.6353275,3.565435638,-9.134155426,0.7032376099
400.6515805,3.394491119,-9.082662506,1.864373016
410.6678779,3.49508194,-9.185348969,1.209784241
420.6842303,3.087479553,-9.244476013,1.699715424
430.7006062,6.101761322,-6.785838776,-1.210233307
440.7169965,2.254461823,-9.55957077,0.6542893982
450.7334059,2.693947906,-9.535470886,0.6779402161
460.7498473,2.825973358,-9.446406097,1.068478088
470.7663035,3.398981781,-9.035959625,1.951940918
480.782765,3.170407104,-9.160201263,1.736688538
490.7992388,2.878065033,-9.286538544,1.100661163
500.8157188,2.170785828,-9.517807617,-1.305734711
510.8322283,3.449576569,-9.020691376,1.54104538
520.8487261,1.873204651,-9.556427307,-0.7114704895
530.8651865,2.061513062,-9.442813568,-2.005080414
540.8816225,2.232906647,-9.456285553,-1.609153748
550.8980445,2.049238586,-9.685758362,-1.019080811
560.9144667,3.486399994,-9.129515076,0.9238787842
570.9308802,2.537074127,-9.896669769,-2.048639832
580.9472795,1.81826889,-9.708960114,-1.33267868
590.9636707,3.421584778,-9.487720184,-0.2127076721
600.9800544,2.500400391,-9.385183411,0.7042854309
610.9964426,2.913391571,-9.347312164,-0.4837939453
621.0128272,3.883823547,-8.478219452,2.161804504
631.0292145,2.307601318,-9.367520142,2.185155945
641.0456089,2.178419952,-9.718839569,0.6033952332
651.0620049,1.382525024,-10.59841049,2.337239685
661.0783947,3.347788239,-9.16648819,-0.7858657837
671.0947827,3.312910767,-9.185498657,-0.3079096985
681.111162,2.886148224,-9.327104187,-0.408949585
691.1275461,2.884351959,-9.378896484,-0.006885681152
701.1439304,2.851570129,-9.142537994,2.113904114
711.160324,2.61745697,-9.376950531,1.105151825
721.1767585,2.934647369,-9.416468353,1.059945831
731.193222,2.560575256,-9.349856873,1.648372192
741.209686,3.351380768,-9.340875549,-0.7774832153
751.2261731,2.148931274,-9.869576111,-0.6676116943
761.2426814,2.920726318,-9.373208313,-0.7750881958
771.2591844,2.880310364,-9.34192337,0.0419128418
781.2757044,2.548300781,-9.471404114,0.2715353394
791.2922394,1.702110443,-9.602980499,1.18179245
801.3087706,2.604883118,-9.439520416,1.824555817
811.3253127,2.646047516,-9.465266876,1.339564362
821.3418664,2.695744171,-9.308542786,1.273401947
831.3584128,2.615960083,-9.450597382,1.418001251
841.3749694,2.925067291,-9.276808777,-1.026415558
851.3915416,2.933599548,-9.362580414,-0.9693841553
861.4081068,2.508782959,-9.425599365,1.417252808
871.4246837,2.616558838,-9.408534851,1.447639618
881.4412978,2.86908371,-9.389524384,1.092278595
891.4579219,2.245929565,-9.662855988,0.9412426758
901.4745411,1.628014526,-9.025331726,-1.088087311
911.4911607,3.147953796,1.000519409,4.763244781
921.5077718,2.369722137,-9.395062866,0.7783813477
931.5243901,3.804488525,-9.359436951,1.049766998
941.5410136,3.904330902,-9.231303406,1.251547394
951.557628,1.97274765,-9.550589447,1.23089035
961.5742497,2.77313324,-9.723629608,0.6376739502
971.5908804,1.893861694,-9.459129639,1.420545959
981.6075038,1.659898224,-9.588161316,1.589394836
991.6241387,2.842738495,-9.429940338,0.7918533325
1001.640776,1.672771454,-9.684560852,-0.5851332092
1011.657415,2.344574432,-9.64504303,0.3070115662
1021.674057,2.345622253,-9.557624817,0.9972262573
1031.690709,1.675914917,-9.522747345,1.109043732
1041.707348,2.526446228,-9.734856262,1.556313629
1051.723997,1.942809906,-9.615404663,1.006207581
1061.740649,2.216740265,-9.17232605,0.3930825806
1071.757293,0.1234931946,-5.592370605,4.255800018
1081.773952,2.020498352,-9.588011627,0.7361691284
1091.790614,1.243464203,-9.6321698,0.7324269104
1101.807272,1.795665894,-9.294921112,1.96107193
1111.823932,1.083147583,-9.809700623,-0.3718267822
1121.8406,1.22864502,-9.71285202,-0.2850073242
1131.857267,1.417552185,-9.698032837,-0.2719844055
1141.873936,0.8765771484,-9.817185059,0.2833607483
1151.890611,3.628753967,-11.02666992,-3.058739319
1161.90729,1.897454224,-9.606722717,1.241667938
1171.923994,2.499202881,-9.344767456,1.49658783
1181.940706,1.423240356,-9.621092834,1.158141632
1191.957405,2.410886536,-9.419761505,1.529818726
1201.974108,2.102228394,-9.563462677,1.381177826
1211.99082,2.821782074,-9.297765198,0.4960684204
1222.007509,2.16345108,-9.401499481,2.741399231
1232.02421,1.127006378,-9.836494904,1.229543152
1242.040939,8.149802399,-6.295907593,-0.5968089294
1252.057715,0.5043013,-9.699829102,1.519789581
1262.074455,-0.09819580078,-9.808652802,0.5688171387
1272.091181,0.3498225403,-9.786798248,1.20873642
1282.107887,0.2248324585,-9.659712524,1.829046478
1292.124611,1.083297272,-9.700727234,1.310824127
1302.141321,-0.1130149841,-9.660760345,1.548230438
1312.158019,0.1369651794,-9.697134705,1.814227295
1322.174713,0.07289840698,-9.748777313,1.447789307
1332.191409,0.1321751404,-9.61106369,2.031725006
1342.208098,1.276096344,-9.749525757,1.496288452
1352.224787,-0.2263293457,-9.800120544,-0.7050338745
1362.241488,0.1375639343,-9.775272217,0.4513114929
1372.258181,0.1414558411,-9.770033112,0.5806425476
1382.27488,0.6258485413,-9.638307037,1.954785004
1392.291592,0.4031117249,-9.740843811,1.448687439
1402.308293,0.2993774414,-9.899214478,-1.754501495
1412.325003,0.6098318481,-9.650431824,1.782792664
1422.341715,0.4323010254,-9.7900914,-0.6747967529
1432.35842,0.1386117554,-9.698332214,1.529818726
1442.375133,0.005688171387,-9.838590546,0.9324110413
1452.391855,-0.07783813477,-9.773625641,0.8460406494
1462.408565,0.2570155334,-10.29529083,0.03802093506
1472.425283,1.128203888,-10.63732956,1.460063782
1482.442011,0.7502398682,-9.710007935,1.707948303
1492.45873,-0.05239105225,-9.813442841,0.9955796814
1502.47546,1.153800659,-10.22239243,-1.458866272
1512.492188,-0.3694317627,-9.82287323,1.568588104
1522.508909,0.1448986816,-9.788444824,1.628912659
1532.52564,-0.2179467773,-9.851314087,1.338516541
1542.542376,-0.2893482971,-9.857451324,1.593735809
1552.559102,-1.412911835,-10.3116069,-1.25783432
1562.575838,-0.6947053528,-9.723779297,1.45213028
1572.592569,0.523611145,-9.877210236,-0.3040177917
1582.609296,4.543202362,-8.835077362,-1.99145874
1592.626028,0.7373666382,-9.887538757,0.8445437622
1602.642768,-0.254021759,-9.719588013,1.297202454
1612.659497,0.9993218994,-9.697434082,1.524878998
1622.676237,1.185384979,-9.621092834,1.125509491
1632.692988,-0.5287005615,-9.839488678,0.4120930481
1642.709732,0.02155517578,-9.78664856,-1.12206665
1652.726478,0.2891986084,-9.768985291,-1.166224823
1662.743229,0.4837939453,-9.684710541,-1.472338257
1672.759976,0.809815979,-9.894723816,0.8181985474
1682.776735,-0.4420307922,-9.692793732,1.229543152
1692.793498,-0.3201841736,-9.834099884,0.918639679
1702.810254,-0.1936972046,-9.7609021,0.8181985474
1712.827009,-0.04041595459,-9.771679688,0.5486091614
1722.843769,-0.1194515991,-9.597591705,0.8598120117
1732.860528,0.3796105957,-9.783205719,0.5766009521
1742.877294,0.2652484131,-9.770631866,0.4411326599
1752.89406,0.222437439,-9.825717316,0.277073822
1762.910813,0.3996688843,-9.775421906,1.434167633
1772.92758,0.4827461243,-9.652228088,1.589394836
1782.944384,0.3908372498,-9.778265991,1.108444977
1792.961131,0.4655319214,-9.831854553,0.2725831604
1802.977906,1.00740509,-9.784852295,1.21457428
1812.994684,0.3359014893,-9.750723267,1.451531525
1823.011455,1.297202454,-9.801168365,1.465602264
1833.028236,-0.366587677,-9.628277893,1.620230713
1843.045022,-1.128952332,-9.764943695,1.156495056
1853.06183,-0.2157014465,-9.328301697,1.401086426
1863.07863,0.05463638306,-9.764794006,-0.3547622681
