timestamp,latitude,longitude,height,velocity,direction,horizontal_accuracy,vertical_accuracy
447.08,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
453.08,52.38,4.85,-1.32,-1.00,-1.00,65.00,65.00
458.08,52.38,4.85,-1.46,-1.00,-1.00,65.00,65.00
464.08,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
470.08,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
476.08,52.38,4.85,-1.12,-1.00,-1.00,65.00,65.00
482.09,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
488.08,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
494.08,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
500.07,52.38,4.85,-0.94,-1.00,-1.00,65.00,65.00
506.08,52.38,4.85,-1.15,-1.00,-1.00,65.00,65.00
512.09,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
518.08,52.38,4.85,-1.14,-1.00,-1.00,65.00,65.00
524.08,52.38,4.85,-1.35,-1.00,-1.00,65.00,65.00
530.08,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
536.09,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
542.08,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
548.29,52.38,4.85,-0.92,-1.00,-1.00,65.00,65.00
548.81,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
555.30,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
555.82,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
562.31,52.38,4.85,-1.14,-1.00,-1.00,65.00,65.00
562.83,52.38,4.85,-1.11,-1.00,-1.00,65.00,65.00
568.31,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
574.30,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
580.31,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
586.30,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
592.31,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
598.31,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
604.30,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
610.30,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
616.31,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
622.31,52.38,4.85,-0.91,-1.00,-1.00,65.00,65.00
628.31,52.38,4.85,-1.32,-1.00,-1.00,65.00,65.00
634.30,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
640.31,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
646.30,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
652.31,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
658.31,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
664.31,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
670.31,52.38,4.85,-1.15,-1.00,-1.00,65.00,65.00
676.30,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
682.31,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
688.30,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
694.30,52.38,4.85,-1.26,-1.00,-1.00,65.00,65.00
700.31,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
706.30,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
712.31,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
718.31,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
724.38,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
724.89,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
730.52,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
736.52,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
742.52,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
748.52,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
754.52,52.38,4.85,-1.30,-1.00,-1.00,65.00,65.00
760.52,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
766.52,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
772.52,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
778.52,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
784.52,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
790.52,52.38,4.85,-1.30,-1.00,-1.00,65.00,65.00
796.52,52.38,4.85,-1.37,-1.00,-1.00,65.00,65.00
802.52,52.38,4.85,-1.17,-1.00,-1.00,65.00,65.00
808.52,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
814.52,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
820.52,52.38,4.85,-1.11,-1.00,-1.00,65.00,65.00
826.52,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
832.52,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
838.52,52.38,4.85,-1.41,-1.00,-1.00,65.00,65.00
844.52,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
850.52,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
856.52,52.38,4.85,-1.32,-1.00,-1.00,65.00,65.00
862.53,52.38,4.85,-0.94,-1.00,-1.00,65.00,65.00
868.51,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
874.51,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
880.52,52.38,4.85,-1.20,-1.00,-1.00,65.00,65.00
886.52,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
892.52,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
898.53,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
904.60,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
905.13,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
910.74,52.38,4.85,-0.96,-1.00,-1.00,65.00,65.00
916.74,52.38,4.85,-0.99,-1.00,-1.00,65.00,65.00
922.75,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
928.75,52.38,4.85,-1.15,-1.00,-1.00,65.00,65.00
934.75,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
940.75,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
946.75,52.38,4.85,-1.07,-1.00,-1.00,65.00,65.00
952.75,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
958.75,52.38,4.85,-1.18,-1.00,-1.00,65.00,65.00
964.75,52.38,4.85,-1.27,-1.00,-1.00,65.00,65.00
970.75,52.38,4.85,-1.31,-1.00,-1.00,65.00,65.00
976.74,52.38,4.85,-1.25,-1.00,-1.00,65.00,65.00
982.74,52.38,4.85,-1.39,-1.00,-1.00,65.00,65.00
988.75,52.38,4.85,-1.38,-1.00,-1.00,65.00,65.00
994.74,52.38,4.85,-1.39,-1.00,-1.00,65.00,65.00
1.000.75,52.38,4.85,-1.03,-1.00,-1.00,65.00,65.00
