timestamp,x
-0.562044875,985.525589
0.439722125,985.5278015
1.441400125,985.5300903
2.443097125,985.5325317
3.444879125,985.5327606
4.446507125,985.5327606
4.996031125,985.52948
5.997672125,985.52948
6.999421125,985.531311
8.001144125,985.5342102
9.003373125,985.5386353
10.00546512,985.5449677
11.00759812,985.5496216
12.01001912,985.5506134
13.01200012,985.5506134
14.01342212,985.5498505
15.01516912,985.5498505
16.01684012,985.5498505
17.01852012,985.5522156
18.02070112,985.5545807
19.02298612,985.559082
20.02490512,985.5657959
21.02716512,985.5674744
22.02911812,985.5691528
23.03077812,985.5722809
24.03244512,985.5740356
25.03369212,985.574646
26.03589312,985.5787659
27.03819612,985.5818176
28.04061412,985.5818176
29.04280212,985.5815887
30.04524912,985.5783081
31.04681612,985.5728912
32.04844712,985.567627
33.05022012,985.5641174
34.05176312,985.5586243
35.05340612,985.554657
36.05510012,985.5545807
37.05667112,985.5510712
38.05831212,985.5500031
39.05996112,985.5484009
40.06169712,985.5482483
41.06317012,985.548172
42.06493612,985.548172
43.06656512,985.5490112
44.06811612,985.5543518
45.06975312,985.5614471
46.07166212,985.5680847
47.07294612,985.5757141
48.07465212,985.5833435
49.07636712,985.5895233
50.07792012,985.5931854
51.07958112,985.5950165
52.08120112,985.598526
53.08280712,985.598526
54.08442612,985.5963898
55.08609812,985.5944061
56.08768412,985.5939484
57.08932212,985.5905151
58.09093212,985.5867767
59.09261212,985.5833435
60.09420412,985.5806732
61.09583112,985.5775452
62.09748312,985.5751801
63.09907312,985.5732727
64.10069012,985.5732727
65.10236913,985.5735016
66.10394312,985.5742645
67.10557412,985.5742645
68.10739612,985.5773926
69.10882212,985.5786133
70.11051312,985.5786133
71.11225112,985.578537
72.11372012,985.5776215
73.11531112,985.5753326
74.11704412,985.5725098
75.11855712,985.5702209
76.12025612,985.5693054
77.12178512,985.5686188
78.12353712,985.5686188
79.12504512,985.5684662
80.12666212,985.5649567
81.12832212,985.5578613
82.12989512,985.5529785
83.13153412,985.5480194
84.13313112,985.539856
85.13476412,985.5381012
86.13636012,985.5367279
87.13819812,985.5338287
88.13963012,985.5321503
89.14125512,985.5296326
90.14316312,985.5228424
91.14449112,985.5176544
92.14611212,985.5109406
93.14773112,985.5052185
94.14935712,985.5007172
95.15098512,985.5003357
96.15259512,985.5003357
97.15431512,985.5003357
98.15588712,985.500946
99.15744112,985.4999542
100.1590251,985.4999542
101.1610221,985.4980469
102.1622581,985.4956818
103.1639131,985.4933167
104.1655821,985.4880524
105.1671701,985.4834747
106.1687931,985.4792023
107.1705131,985.476532
108.1722281,985.4728699
109.1736131,985.4670715
110.1752421,985.460968
111.1768551,985.4573059
112.1785051,985.4538727
113.1801231,985.4538727
114.1817671,985.4551697
115.1833591,985.4589844
116.1849551,985.4608917
117.1866921,985.4631042
118.1882011,985.4631042
119.1897821,985.463562
120.1915521,985.4649353
121.1930291,985.4669189
122.1946741,985.4688263
123.1963021,985.4714203
124.1979221,985.477066
125.1995091,985.4816437
126.2011991,985.4853058
127.2027401,985.4854584
128.2043771,985.4881287
129.2060001,985.4881287
130.2077031,985.4834747
131.2092771,985.47966
132.2108131,985.4785156
133.2126531,985.4753113
134.2144671,985.4738617
135.2156811,985.4738617
136.2173131,985.4751587
137.2189221,985.4776764
138.2205501,985.4792786
139.2222781,985.4801941
140.2238051,985.4829407
141.2254011,985.4850769
142.2270411,985.4853058
143.2286281,985.486145
144.2302461,985.486145
145.2322951,985.4857635
146.2334741,985.4853821
147.2351451,985.4846954
148.2366981,985.4847717
149.2384341,985.4847717
150.2399431,985.4863739
151.2415721,985.4875183
152.2431821,985.4880524
153.2447981,985.4891205
154.2464211,985.4909515
155.2481301,985.49263
156.2496501,985.4935455
157.2512661,985.4940796
158.2528091,985.4940796
159.2545031,985.4924774
160.2561351,985.4908752
161.2577251,985.4892731
162.2593671,985.4886627
163.2609661,985.4886627
164.2625461,985.4889679
165.2645831,985.4919434
166.2658141,985.4950714
167.2674291,985.4988098
168.2690481,985.5014801
169.2707101,985.5045319
170.2724951,985.5049133
171.2738991,985.5049133
172.2755211,985.5016327
173.2771811,985.5001068
174.2787201,985.4969025
175.2803731,985.4935455
176.2819741,985.4935455
177.2836871,985.4942322
178.2852911,985.4948425
179.2868411,985.4970551
180.2884481,985.4994965
181.2900411,985.5019379
182.2916861,985.5043793
183.2932241,985.5073547
184.2949781,985.5091858
185.2965401,985.5108643
186.2981551,985.5140686
187.3000881,985.5161285
188.3013891,985.5182648
189.3030041,985.5220032
190.3046251,985.5247498
191.3062681,985.5273438
192.3078641,985.5315399
193.3094661,985.5350494
194.3110911,985.5354309
195.3128151,985.535965
196.3143181,985.5354309
197.3159521,985.5351257
198.3175641,985.5344391
199.3191781,985.5334473
200.3207961,985.5330658
201.3225121,985.5321503
202.3240331,985.5321503
203.3256891,985.5335236
204.3272911,985.5380249
205.3288831,985.5442047
206.3305741,985.5521393
207.3326221,985.5581665
208.3337411,985.5622864
209.3353571,985.5639648
210.3369351,985.5639648
211.3385861,985.5599976
212.3401951,985.5544281
213.3418331,985.5516815
214.3434261,985.545578
215.3451121,985.5413055
216.3467401,985.5361938
217.3482981,985.5324554
218.3501611,985.5256653
