,acc_phone_x,acc_phone_y,acc_phone_z,labelStanding,labelSitting,labelWalking,gyr_phone_x,gyr_phone_y,gyr_phone_z,bar_phone_x,lin_acc_phone_x,lin_acc_phone_y,lin_acc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,prox_phone_distance
2020-06-05 12:47:00,1.1085647277,-8.1773451232,1.44732527154,1,0,0,0.05126265735173,-0.10075456518699999,-0.03669826960538,985.5571388259999,-0.0677274803015,0.0412264079134,0.002029860919900004,11.6871440894,31.946333313999997,-10.2143571375,2.5
2020-06-05 12:48:40,1.3448334043999999,-9.725096557399999,-0.385029327324,1,0,0,0.06473234233671334,-0.16570258206666666,0.010190456433444442,985.4911186229998,0.17399124324822224,0.1353789597866667,0.16401699780703333,11.377064175222223,39.322111765555555,-1.9124890433333332,
2020-06-05 12:50:20,1.5156282348699999,-9.699320159900001,1.22274728398,1,0,0,-0.011407167837400001,0.2062601287427,-0.0163114089053,985.4884292590001,-0.012316808938999998,0.0008804737410000041,-0.12657549583599997,5.6201662063999995,28.580409431500005,-18.962272070700003,
2020-06-05 12:52:00,3.8946460418,-8.5952011875,-0.26815237414000015,1,0,0,-0.0423304358991,0.16076919971249998,0.22184920113628998,985.4436149589998,-0.295687658278,-0.18659336378500005,0.026304459739399988,0.5469040870099998,33.03147487700001,-2.749708270100001,
2020-06-05 12:53:40,3.3300650939,-9.0322473449,1.07536376953,1,0,0,0.02824224893844444,-0.04703120727111112,-0.004621093989600001,985.3779441820001,0.005604410022777785,0.09218349873915556,0.03567607164678888,-0.47360287788888894,36.62117110444445,-6.341693666444446,
2020-06-05 12:55:20,2.5100553131999996,-9.490264892599999,-0.77796221934,1,0,0,0.017943784962999997,-0.17917932494399996,-0.015154833394299998,985.3316497850001,0.11860344582099999,0.0705425637968,0.21623289991800004,7.2193335536,39.197171784,-6.4903830052,
2020-06-05 12:57:00,2.7597360992,-9.395347274599999,0.5998476104448,1,0,0,-0.05376119704444444,0.14714865982411113,0.027591831732666678,985.3135026080809,-0.3744109916733333,0.17337683081688887,-0.2212910598933333,3.7901988556000004,39.54022386444444,-5.2452126614944445,
2020-06-05 12:58:40,2.6516009672,-9.4285781707,0.5202431487799999,1,0,0,-0.1790190449994,0.29535646097384,0.041491703267,985.3054817179999,-0.26044515934800005,-0.092818525835,-0.058981332053000005,4.22476058007,40.367449570999995,-6.936857223544,
2020-06-05 13:00:20,2.6661656799,-9.418983123900002,0.8758137360499999,1,0,0,-0.028372623720119998,0.1289167253492,-0.0230254575144,985.3155830359999,-0.047844140413999994,0.0245208835611,-0.003661234090000004,4.8483011722,40.439835738,-8.264916086383,
2020-06-05 13:02:00,2.5996889188999996,-8.376206588799999,1.24252116374,1,0,0,-0.021123619129999993,0.22353383971555563,0.04311718502888889,985.3488166829999,0.034430566022222234,0.0015704322444444474,-0.9212700814633332,9.679275671555557,43.09453031777778,-12.085346009866665,
